Codigo;Nombre;Categoria;Proveedor;Stock;Costo;Precio;
669;Cedron 50g Plut;yuyerio y condimentos;Yuyos Andy;-68;1222.00;3440.00;
670;Cedron x 250g PLUT;yuyerio y condimentos;Herbores;-2;3500.00;4235.00;
671;Centella asiatica x 50grs;yuyerio y condimentos;Yuyos Andy;0;;1500.00;
724751048271;Cepillo chico de Bambú para el cabello WHOLE GREEN;Cosmetica natural;;-2;;10080.00;
9780201379624;Cepillo de Bambu WHOLE GREEN;Cosmetica natural;;-5;;4944.00;
8906038788366;cepillo de dientes bambu adultos  Sudanta;Varios;Fernanda - Alimentos Naturales;-20;;2200.00;
8906038788403;cepillo de dientes bambu sUDANTA kids;Varios;Fernanda - Alimentos Naturales;-46;;2200.00;
679;Cerveza 350cc LA BURRA;Bebidas;Vinos Tizac y cervezas (Proodenor);0;;441.60;
680;Cerveza 660cc LA BURRA;Bebidas;Vinos Tizac y cervezas (Proodenor);-8;0.00;2808.00;
7798339250212;Cerveza artesanal helles Rabieta x473ml;Bebidas;;-2;;2300.00;
7798339250144;Cerveza artesanal Rabieta golden x473ml;Bebidas;;0;;2300.00;
7798339250151;Cerveza artesanal Rabieta red ale x473ml;Bebidas;;-1;;2300.00;
7798339250182;Cerveza artesanal Rabieta red honey x473ml;Bebidas;Green & CO;-6;;2300.00;
7798339250168;Cerveza artesanal Rabieta witbier x473ml;Bebidas;;-3;;2300.00;
7798165591480;cerveza Beepure blonde 500cc;Varios;Beepure;-2;316.00;3600.00;
7798165591183;Cerveza Beepure honey 500 cc;Bebidas;Beepure;-5;363.40;3600.00;
7798165591497;Cerveza Beepure scottish ale 500cc;Bebidas;;0;0.00;3600.00;
7798165591503;Cerveza Beepure session IPA 500 cc;Bebidas;Beepure;-3;339.70;3600.00;
7798339251509;Cerveza Guiness x473ml;Bebidas;;-1;0.00;2300.00;
7798309330111;cerveza Me Hecho La Burra pecadora rubia frutal 350cc;Varios;Vinos Tizac y cervezas (Proodenor);-1;0.00;2808.00;
7798309330159;cerveza Me Hecho La Burra rubia fuerte 350cc;Varios;Vinos Tizac y cervezas (Proodenor);0;0.00;2808.00;
7798309330135;cerveza Me Hecho La Burra triple ipa 350cc;Varios;Vinos Tizac y cervezas (Proodenor);-1;;441.60;
7798309330142;cerveza Me Hecho La Burra triple ipa 660cc;Varios;Vinos Tizac y cervezas (Proodenor);-4;0.00;2808.00;
7798309330050;cerveza Me Hecho La Burra triple negra 350cc;Varios;Vinos Tizac y cervezas (Proodenor);0;;441.60;
7798309330043;cerveza Me Hecho La Burra triple roja   660cc;Varios;Vinos Tizac y cervezas (Proodenor);-3;0.00;2808.00;
7798309330029;cerveza Me Hecho La Burra triple rubia  660cc;Varios;Vinos Tizac y cervezas (Proodenor);-2;0.00;2808.00;
686;Cerveza Tayrus 330 cc surtidas;Bebidas;KEFIR TIERRA FLORIDA;0;;142.80;
687;Cerveza Tayrus 650 cc surtidas;Bebidas;KEFIR TIERRA FLORIDA;0;;306.00;
211234;Chamar 50g Plut;yuyerio y condimentos;Yuyos Andy;0;;1500.00;
689;Chañar corteza 50g Plut;yuyerio y condimentos;Yuyos Andy;-10;697.00;2000.00;
PLUT0002;Chapati (pan para sandwich) Plutarco;Panaderia y Comidas;Plutarco;-498;165.58;1000.00;
691;Chaucha vainilla x unidad;Dulces;El Castillo;0;;186.00;
7798165591862;Cheepas Beepure 300g;Otros;Beepure;0;928.25;1732.80;
694;Chia 1 kg Plutarco;Semillas;Los Nogales;-4;1121.80;5950.00;
695;Chili Organico PAMPA GOURMET;Vinagres y acetos;MAOAR;0;;922.80;
7798131061962;Chimichurri organico 180g PAMPAGOURMET;Aceites;;0;0.00;6250.00;
7798126291114;Chimichurri x360g ARYTZA;Salsas y Mayonesas;El Ceibo;-1;;1798.80;
727373053432;Chipa 300g MUNDO CHIPA;X;;-4;0.00;6850.00;
7798399100014;Chipa 500g MUNDO CHIPA;Comidas congeladas;;-2;0.00;11000.00;
7798137494290;Chipa vegano NATURALRROZ;Varios;Tienda veggie (Holy places srl);0;;1165.20;
112241;Chips chocolate 200g Plut;Dulces;;-10;0.00;2100.00;
7798177200516;Chips de batata - sal marina Lyv;Snack;Tienda veggie (Holy places srl);-2;0.00;1220.00;
7798177200493;Chips de papa - provenzal Lyv;Snack;Tienda veggie (Holy places srl);-1;0.00;1220.00;
7798177200509;Chips de papa - sal marina Lyv;Snack;Tienda veggie (Holy places srl);-1;0.00;1220.00;
7798177200523;Chips de papa - spicy lime Lyv;Snack;Tienda veggie (Holy places srl);0;;1220.00;
699;chips Kale deshidratado;Snack;Oh Yeah It's Vegan!;0;;382.80;
7798171730026;chips Nuestros Sabores  batatitas y sal marina;Varios;Los Nogales;-47;288.35;2000.00;
7798171732860;chips nuestros sabores batata con merken;Varios;Los Nogales;-13;288.35;2000.00;
7798171730019;chips nuestros sabores mandioca y sal marina;Varios;Los Nogales;-11;288.35;2000.00;
7798171732167;chips nuestros sabores papa pimienta negra y sal marina;Snack;Los Nogales;-51;288.35;2000.00;
7798171730392;chips Nuestros Sabores papas rusticas sal marina;Snack;Los Nogales;-143;288.35;2000.00;
7798171730477;chips Nuestros Sabores remolacha batata;Varios;Los Nogales;-23;288.35;2000.00;
7798171732365;chips nuestros sabores tortila maiz;Varios;;-11;;2000.00;
7798171732051;chips Nuestros Sabores zanahoria y sal marina;Varios;Los Nogales;-16;288.35;2000.00;
7798142380861;Chlorella (capsulas y polvo) Organikal 50 gr;infusiones;Fernanda - Alimentos Naturales;-7;;13000.00;
701;Chlorella + Spirulina (capsulas y polvo) Organikal 50 gr;infusiones;Fernanda - Alimentos Naturales;0;;1459.20;
7797897003001;Chocolate 55% sin azucar COLONIAL;Varios;Liliana pintofruta;-1;;805.20;
7798333090302;chocolate 71 vegano MUECAS;Dulces;;-10;;4000.00;
1541515;Chocolate 80% cacao sin azucar NUTRIRTE;Dulces;;-69;0.00;8500.00;
2436262;Chocolate Blanco sin azucar NUTRIRTE;galletas;;-30;0.00;5700.00;
77974716;Chocolate Colonial 60% 16g;Dulces;;-121;;600.00;
706;Chocolate Colonial 60% ORGANICO negro 16grs;Dulces;Liliana pintofruta;-5;;169.20;
7797897002929;Chocolate Colonial 60% x 100grs;Dulces;Liliana pintofruta;-24;;3905.00;
7087797897003186;Chocolate Colonial 70% con stevia;Dulces;Liliana pintofruta;-82;;4780.00;
7797897002936;Chocolate Colonial 70% x 100grs;Dulces;Liliana pintofruta;-46;;1860.00;
7797897002943;Chocolate Colonial 80% ORGANICO negro 100grs;Dulces;Liliana pintofruta;-29;;7560.00;
711;Chocolate Colonial 80% ORGANICO negro 16grs;Dulces;Liliana pintofruta;-1;;118.80;
712;Chocolate Colonial 80% x kg;Dulces;Los Nogales;0;4574.10;9291.60;
606110439794;Chocolate Dr. Cacao 100% Sin Azucar;Dulces;Dr. Cacao;-13;0.00;12300.00;
716;Chocolate Dr. Cacao 70% Almendras;Dulces;Dr. Cacao;0;0.00;5530.00;
606110439831;Chocolate Dr. Cacao 70% Almendras y coco;Dulces;Dr. Cacao;-16;0.00;9500.00;
606110439848;Chocolate Dr. Cacao 70% Avellanas;Dulces;Dr. Cacao;-12;0.00;5920.00;
606110439824;Chocolate Dr. Cacao 70% Con azucar;Dulces;Dr. Cacao;-14;0.00;8865.00;
606110439800;Chocolate Dr. Cacao 80%;Dulces;Dr. Cacao;-12;0.00;10900.00;
721;Chocolate Dr. Cacao 80% Cxilitol;Dulces;Dr. Cacao;0;0.00;6360.00;
722;Chocolate Dr. Cacao 80% Sin Azucar;Dulces;Dr. Cacao;0;;456.00;
723;Chocolate HEALTHY MAJO 100% x 70grs;Dulces;Healthy Majo;0;;441.60;
724;Chocolate HEALTHY MAJO 70% x 70grs;Dulces;Healthy Majo;0;;398.40;
725;Chocolate HEALTHY MAJO 80% x 70grs;Dulces;Healthy Majo;0;;441.60;
726;Chocolatinasa Colonial Semiamargo;Dulces;Liliana pintofruta;0;;44.40;
727;Chorizo vegano GREEN DRAGON;Lacteos;All Natural;0;;552.00;
7791479000600;chucrut Alcaraz 310g Recetas de Entonces;Almacen;Frusan (Gerardo Lassalle);-3;0.00;2262.00;
7791479005469;Chucrut con Ciruela Alcaraz Recetas de Entonces;Almacen;Green & CO;-2;0.00;2796.00;
7791479000327;Chucrut Cristo de los cerros;Almacen;VIVET;2;0.00;1497.60;
4320;Chucrut LA FERMENTADORA;Refrigerados;La fermentadora;-180;0.00;12600.00;
729;Chucrut Recetas de Entonces;Almacen;Frusan (Gerardo Lassalle);-1;0.00;2262.00;
731;Chucrut x 360grs LOS MONTES;Almacen;Frusan (Gerardo Lassalle);0;0.00;958.80;
732;Chucrut x 660grs LOS MONTES;Almacen;Frusan (Gerardo Lassalle);0;0.00;1254.00;
763571726419;Churrasco vegano GREEN DRAGON;Comidas congeladas;All Natural;-2;;2595.60;
733;Churrasquitos Seitan;Comidas congeladas;All Natural;0;;648.00;
